Taxonomy ,industry,usecases,xdlink,prototypelink,,,,,,,
6.H,M&E - Telco,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco%2FTelco%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco,https://xd.adobe.com/view/22ea83fc-8b3a-46ae-b4ce-797a6f0163ff-77b9/?fullscreen,,,,,,,
6.J,M&E - Telco,Cross-selling and/or Upsell,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco%2FTelco%20%2D%20Cross%2Dsell%20Upsell%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco,https://xd.adobe.com/view/d4ef3bb8-51bb-4d49-b758-caefbe49449e-81bc/?fullscreen,,,,,,,
6.L,M&E - Telco,Personalized Chat Bot,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco%2FTelco%20%2D%20Personalized%20Chatbot%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco,https://xd.adobe.com/view/f6ce31f3-6493-4575-8280-d060b3fdc3c0-a39d/?fullscreen,,,,,,,
20.E,T&H - Airlines,Personalized Push Notifications,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAirlines%2FAirlines%20%2D%20Personalized%20Push%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAirlines,https://xd.adobe.com/view/8d0a7c83-7007-4c7c-afd7-8fa3cb67192b-d859/?fullscreen,,,,,,,
20.O,T&H - Airlines,Personalized Content,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAirlines%2FAirlines%20%2D%20Personalized%20Content%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAirlines,https://xd.adobe.com/view/0eb7e93c-d52b-402b-b241-c140dfbed820-5be4/?fullscreen,,,,,,,
20.H,T&H - Airlines,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAirlines%2FAirlines%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FAirlines,https://xd.adobe.com/view/ed74f5c1-2d16-4a1b-9011-dab9bad10e6f-b827/?fullscreen,,,,,,,
7.N,FSI - Fintech,Campaign Optimization and Performance ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Fintech%2FFintech%20%2D%20Campaign%20Optimization%20%26%20Performance%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Fintech,https://xd.adobe.com/view/deb24efc-7159-4800-b3db-1b9c483f8cfa-8be1/?fullscreen,,,,,,,
7.P,FSI - Fintech,Prospect Segment,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Fintech%2FFintech%20%2D%20Prospect%20Segment%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Fintech,https://xd.adobe.com/view/9a290d16-6fc2-4082-aafb-c9071cd11c42-cf7a/?fullscreen,,,,,,,
7.H,FSI - Fintech,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Fintech%2FFintech%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Fintech,https://xd.adobe.com/view/07ea117b-2fb1-4738-94c7-2efcc32b463b-52b9/?fullscreen,,,,,,,
7.K,FSI - Fintech,Abandonment,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Fintech%2FFintech%20%2D%20Abandonment%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Fintech,https://xd.adobe.com/view/dc6f0988-9fab-4e9b-9eb9-30b1547cd7ca-893c/?fullscreen,,,,,,,
8.G,FSI - Retail Banking,E-Sign Documentation ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking%2FFSI%20%2D%20E%2DSign%20Documentation%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking,https://xd.adobe.com/view/eb244f52-ecd2-4fca-9061-51185115d485-be77/?fullscreen,,,,,,,
8.M,FSI - Retail Banking,Account Registration,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking%2FRetail%20Banking%20%2D%20Account%20Registration%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking,https://xd.adobe.com/view/e5436d13-ce8b-40ff-99a9-b888c6753482-b010/?fullscreen,,,,,,,
8.Q,FSI - Retail Banking,Appointment Scheduling,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking%2FRetail%20Banking%20%2D%20Appointment%20Scheduling%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking,https://xd.adobe.com/view/92f9d00b-2638-46f7-8455-3806f5185c39-c7aa/?fullscreen,,,,,,,
8.D,FSI - Retail Banking,Call Center,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking%2FRetail%20Banking%20%2D%20Call%20Center%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking,https://xd.adobe.com/view/98c8b081-4140-4dcf-b6f2-72294eeecc63-cd9b/?fullscreen,,,,,,,
8.R,FSI - Retail Banking,Orchestrated Communication,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking%2FRetail%20Banking%20%2D%20Orchestrated%20Communication%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking,https://xd.adobe.com/view/7265035f-ba09-46de-ad1d-f5c6fc71e1fc-2736/?fullscreen,,,,,,,
8.I,FSI - Retail Banking,Quote & Finance ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking%2FRetail%20Banking%20%2D%20Quote%20and%20Finance%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking,https://xd.adobe.com/view/697c60fc-3bab-4586-8b01-5e259b6c901e-3c2f/?fullscreen,,,,,,,
8.P,FSI - Retail Banking,Prospect Segment,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking%2FRetail%20Banking%20%2D%20Prospect%20Segment%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking,https://xd.adobe.com/view/d995b2d4-c165-48f5-8806-bd4a1796f421-8cc6/?fullscreen,,,,,,,
8.A,FSI - Retail Banking,Social Site Research,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking%2FRetail%20Banking%20%2D%20Social%20Site%20Research%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20Retail%20Banking,https://xd.adobe.com/view/4961a7f7-7635-4d6b-90cf-4f579d4168b5-1c32/?fullscreen,,,,,,,
9.A,Healthcare - Retail Pharmacy,Social Site Research,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20Social%20Site%20Research%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/5aeb4237-ce5f-4c06-9a0c-6f294913b2bf-0fb8/?fullscreen,,,,,,,
9.S,Healthcare - Retail Pharmacy,SEM Ads Click Through ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20SEM%20Ads%20Click%20Through%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/e65d0e64-2533-430f-b852-ae398432015e-b30e/?fullscreen,,,,,,,
9.R,Healthcare - Retail Pharmacy,Orchestrated Communication,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20Orchestrated%20Communication%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/707a2407-37d1-4ef3-a9d2-0439c1dae308-2529/?fullscreen,,,,,,,
9.O,Healthcare - Retail Pharmacy,Personalized Content,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20Personalized%20Content%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/053c2084-deaa-4a28-a99a-3af5d2403f22-506f/?fullscreen,,,,,,,
9.C,Healthcare - Retail Pharmacy,Loyalty and Retention ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20Loyalty%20%26%20Retention%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/3623c8a0-6d2b-44cf-8de6-d5f9b6b91b3b-6370/?fullscreen,,,,,,,
9.D,Healthcare - Retail Pharmacy,Call Center,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20Call%20Center%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/e42b1716-29cb-4813-b109-a7739093f3e4-b178/?fullscreen,,,,,,,
9.E,Healthcare - Retail Pharmacy,Personalized Push Notifications,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20Personalized%20Push%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/4fc541cb-18fc-489a-a6c3-ade31dad4956-1a96/?fullscreen,,,,,,,
9.G,Healthcare - Retail Pharmacy,E-Sign Documentation ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20E%2DSignature%20Documentation%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/ac86ecaa-ab54-4914-81ad-83c803aed3b7-f9d5/?fullscreen,,,,,,,
9.H,Healthcare - Retail Pharmacy,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy%2FRetail%20Pharmacy%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2DPharmacy,https://xd.adobe.com/view/e7f5253e-13b6-4ee2-b229-5597480a5d0d-b2a6/?fullscreen,,,,,,,
10.M,Retail - Retail Grocery,Account Registration,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery%2FRetail%20Grocery%20%2D%20Account%20Registration%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery,https://xd.adobe.com/view/2dd4ba3c-2a27-40cb-8db8-76bfb02bbf2e-7887/?fullscreen,,,,,,,
10.Q,Retail - Retail Grocery,Appointment Scheduling,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery%2FRetail%20Grocery%20%2D%20Appointment%20Scheduling%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery,https://xd.adobe.com/view/ef1bdc47-9c0b-4d8f-beaf-8d1fd25c1a4d-ba48/?fullscreen,,,,,,,
10.G,Retail - Retail Grocery,E-Sign Documentation ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery%2FRetail%20Grocery%20%2D%20E%2DSignature%20Documentation%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery,https://xd.adobe.com/view/2cb38643-eed7-4316-ac95-8a2a44f76b99-79e0/?fullscreen,,,,,,,
10.C,Retail - Retail Grocery,Loyalty and Retention ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery%2FRetail%20Grocery%20%2D%20Loyalty%20and%20Retention%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery,https://xd.adobe.com/view/9e2c3f7f-6c63-438f-96c2-2557ba1bee2f-cb7f/?fullscreen,,,,,,,
10.O,Retail - Retail Grocery,Personalized Content,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery%2FRetail%20Grocery%20%2D%20Personalized%20Content%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery,https://xd.adobe.com/view/6ac9c896-0d08-462a-9a24-14ab0f7a7b72-3f9a/?fullscreen,,,,,,,
10.E,Retail - Retail Grocery,Personalized Push Notifications,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery%2FRetail%20Grocery%20%2D%20Personalized%20Push%20Notifications%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery,https://xd.adobe.com/view/fb77e31a-63b2-4c88-85d6-bd5b78076b26-ae24/?fullscreen,,,,,,,
10.H,Retail - Retail Grocery,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery%2FRetail%20Grocery%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%20%2D%20Grocery,https://xd.adobe.com/view/99881f1f-ff38-4906-9af5-3963e1454992-ccdb/?fullscreen,,,,,,,
11.K,Retail,Abandonment,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%2FRetail%20%2D%20Abandonment%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail,https://xd.adobe.com/view/ff6c4844-6335-4f36-bfc7-fea046825275-aa3f/?fullscreen,,,,,,,
11.M,Retail,Account Registration,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%2FRetail%20%2D%20Account%20Registration%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail,https://xd.adobe.com/view/c3a94b53-08e0-4c48-bd0b-314d77c3fd4a-96fa/?fullscreen,,,,,,,
11.N,Retail,Campaign Optimization and Performance ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%2FRetail%20%2D%20Campaign%20Optimization%20and%20Performance%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail,https://xd.adobe.com/view/4446745d-64a7-45d7-89c0-c05ddd78e561-1115/?fullscreen,,,,,,,
11.J,Retail,Cross-selling and/or Upsell,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail%2FRetail%20%2D%20Cross%2Dsell%20Upsell%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FRetail,https://xd.adobe.com/view/9f98300d-264a-4db4-b98c-ddb27dd15d32-cacb/?fullscreen,,,,,,,
